OP_UNIQUE_CARRIER,FL_DATE_MONTH,DEP_HOUR,MKT_CARRIER_FL_NUM,OP_CARRIER_FL_NUM,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,YEAR OF MANUFACTURE,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
F9,6,13.285853896897141,1362.820913755192,1362.820913755192,17.745826207345875,17.225588402964412,124.50590438960828,917.836468767815,0.001873116703314602,35.51783903151723,-92.20661555566414,1383.5748839482042,2018.069712517306,158.1228113038521,7.1149930776121835,3.2021337242446455,9.763671308738497,25.348499063441647,13.340082254255233,54.895504519912045,29.89317452561283,7796.204902679371,1.7330401498493362,0.415098949425849,0.4862773841518039,0.46982653310530176,1.972391888590276,0.07231859271927682
F9,7,13.321719735425319,1336.6912782648824,1336.6912782648824,17.94454699277034,16.552453468697124,127.05245346869712,941.9102445777572,0.00046146746654360867,35.574718926088295,-92.23685074796185,1403.3045685279187,2018.0721427472697,158.5202276572835,6.733348715582218,2.4074757729580063,9.708765574526996,27.191175203814797,16.67512921089063,58.56846177511152,29.7009475465313,7354.5839101676665,1.9889247808029533,0.47454237809567756,0.5694508537148131,0.48554068604830025,2.110752191970466,0.09498538686355945
F9,8,13.385332928863946,1329.9090702259973,1329.9090702259973,17.650614287881087,20.840816016987713,130.53655392082513,977.3789625360231,0.0012892461701804944,35.67842655877446,-92.64881784847566,1433.229409980282,2018.1199757318368,149.02017291066284,6.1721522827241015,1.5982102229637494,9.768959502502655,26.532537539814953,17.4143038070681,61.724695889579856,29.930888821477325,7102.0779614742905,2.090323069922645,0.4829364477476111,0.6046564538146519,0.49279538904899134,2.173820718944335,0.10147125739420598
F9,9,13.461300548983221,1368.4924611459057,1368.4924611459057,17.933890048712595,17.462073764787753,131.3423026366659,988.3999072141035,0.0005412510631717313,35.93873016376711,-94.28057478914405,1516.0958014381813,2018.1434315317406,149.76331864223306,6.153251372458053,1.7652516817443749,9.694038506147066,23.73624217118998,13.12628315162762,57.99293280754659,29.94159901028377,6697.649423954225,1.6133147761540245,0.41923760921673237,0.47985772829196627,0.334570478620583,1.8397896853011675,0.08273409108482177
F9,10,13.503226711560044,1362.6358024691358,1362.6358024691358,17.333052749719418,19.71850448933782,132.0780723905724,990.6059904601572,0.00014029180695847364,35.73055124873737,-93.87055935781426,1458.7841610549945,2018.1379769921436,156.20580808080808,6.4374298540965205,2.0226571268237934,9.611793630751965,17.48297699214366,7.088662317620651,56.67816568462402,30.00085788439955,7309.995791245791,1.343013468013468,0.38306677890011226,0.36560044893378224,0.30808080808080807,1.7145763187429854,0.07007575757575757
F9,11,13.444461156651876,1416.9946604497254,1416.9946604497254,17.708505677972475,23.09769120854328,138.94299466044973,1033.2514852974355,0.00045122960066180343,35.24093187546063,-92.82577629525457,1306.0072196736105,2018.1392043318042,160.39181770324134,7.233285703542152,2.933894863503046,9.378436489433707,12.481882379484095,3.9624554410769344,61.09257276077311,30.03188839587877,7633.511318342484,1.5040234639392345,0.47439272016244266,0.3319545762202,0.357223433857261,2.096788749341957,0.10483567722042567
F9,12,13.399379868411103,1418.9104590486274,1418.9104590486274,18.067836345761172,31.47712319443394,140.08220524843077,1038.4506541632004,0.002268774105724873,35.10525382288437,-92.86893358738563,1287.3149058458746,2018.1942826892537,167.41889132572032,6.785449595401952,2.2762610602737654,9.148430764576874,8.65315964607124,1.5635559252817062,64.40170158057929,30.04442940331241,7552.454057324359,1.5649247523254934,0.4907358390682901,0.3533993798684111,0.3555925281706118,2.332375406488694,0.1334795432201467
G4,1,13.043046768391019,1330.8843815903733,1330.8843815903733,14.660712070462722,12.015258652772609,124.46793201836,928.2074184344374,0.013770003721622627,35.283731759831284,-92.86491581453915,856.2005954596204,2007.021957573502,163.85560104205433,6.56866393747674,2.5917379977670265,8.820137700037217,4.918868626721251,-1.2005197866269692,64.35655873961046,28.869562089070836,3998.796675350453,0.8795434809576975,0.4000744324525493,0.1819873464830666,0.11264111152462473,1.7211264111152462,0.12591489889591861
G4,2,13.071011673151752,1362.7974221789884,1362.7974221789884,14.49306906614786,13.190296692607005,126.38095817120623,941.0885214007782,0.01228112840466926,35.32120846960117,-92.42503993591926,830.1228112840467,2007.3551799610896,157.20695525291828,6.971425097276264,3.020184824902724,8.816723005836575,7.162059824902723,0.18207441634241245,62.04099708171206,28.824933122568094,3329.2193579766536,0.8169990272373541,0.38776750972762647,0.1518725680933852,0.08669747081712062,1.5521643968871595,0.125
G4,3,13.267311654573144,1445.0750694257815,1445.0750694257815,14.603959509092538,20.471378661650093,126.28469049538654,937.1335662456329,0.007524858908895459,35.38808383472185,-91.54728400304577,797.8130430887754,2007.2597867956642,161.4440562572785,7.706799247514109,4.651348203887844,9.13351787153991,11.839049538654484,3.692085460897608,59.4183337812416,28.804501478097286,4183.346770581385,0.9499238555943743,0.37480963898593567,0.2325539729463406,0.11672489474155692,1.6646958702857655,0.09549404282003046
