OP_UNIQUE_CARRIER,DEP_HOUR,MKT_CARRIER_FL_NUM,OP_CARRIER_FL_NUM,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,YEAR OF MANUFACTURE,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER,FL_DATE_MONTH
MQ,12.727741277752605,3827.909715030099,3827.909715030099,16.600936953848144,7.119065149847887,75.74191290698427,503.0402534144605,0.04296394588646514,35.80313312737879,-90.51592560111496,702.7699810667357,2011.7388706388763,161.03157566832806,7.727199171467409,4.135587254838501,9.444454738170755,15.584712198200531,8.492714051071266,65.76109096867111,29.875127475888405,5657.54660495825,1.3136084859861479,0.4678660431095864,0.2853461389086672,0.29098566250242736,1.9870339504175027,0.10675043692148359,6.309700466049582
NK,12.88678692269563,1245.7845606775716,1245.7845606775716,15.184427059761642,13.849546345983923,131.09434710458825,1005.8037025064115,0.05421434882868904,33.92253404972307,-89.28427837795736,540.2927695523804,2014.982569341178,155.45708497661687,7.065369280834465,3.0854852266114956,9.480851619577164,18.615256481541348,10.195951725178336,62.732003103381395,29.84773991939829,6235.665610654943,1.5997284541281438,0.5456175513458762,0.3576647055020366,0.3443072347578716,2.0775931553199283,0.10406241244800758,6.721682722355122
OH,12.76529727283868,5328.785074612796,5328.785074612796,20.383579528850596,9.519277721740934,66.5360997728151,421.4604830271208,0.04174640133482905,37.039186977837694,-80.44051027220708,461.195562824634,2012.0553492142797,159.9060906288591,6.47652265721477,2.5758099942496773,9.305763661730188,15.147515719120294,8.379246613436901,66.64543249969363,29.861335158982286,6289.340692489701,1.4479878583346688,0.48385667555924244,0.3514814151450307,0.32332368661683053,2.1449599834089046,0.11976225714312648,6.165236941582376
OO,12.782470036705378,4381.436746131166,4381.416418681998,17.74689563309939,10.236292920949417,74.35992467465688,490.33972304124023,0.03306355883527436,39.092533754767324,-103.41992386443489,1703.0712144502124,2010.5702913455175,163.74100417380077,6.892605315988994,2.9036784696428475,9.328297781266581,12.791246916146537,4.68477938481568,62.49311480140258,29.864604145355486,5542.663710908226,1.2671259853287893,0.40185550881530796,0.336342426712325,0.21657266953672452,1.8603157975351052,0.10884840296049933,6.398651309851373
PT,12.904576999339062,6091.310086394108,6091.310086394108,22.121530072703237,3.840631196298744,51.11259560003777,283.0734703993957,0.027417146633934474,37.873586226985175,-79.325144169873,507.76790435275234,2001.1233830610895,157.01561467283543,6.314264469832877,2.500401284109149,9.225791001793976,13.98282681049948,7.211513667264659,66.28165270040601,29.805255641582477,5871.871164196015,1.4110565574544425,0.49098291001793976,0.3303158341988481,0.2959116230761968,2.120078368426022,0.12771456897365688,6.242363799452365
QX,12.993805918788713,2245.8283596403144,2245.8283596403144,13.211501359538772,6.2218473931831255,68.4583845745941,414.0243024607088,0.026525109157988558,45.749312618076786,-121.58534243611295,1038.5329279162388,2013.0371644872678,148.6555797502059,5.582446718490855,1.4456240903500954,9.1108447192355,10.589558516579602,4.359024855302201,69.12399557726806,29.90752169056672,3896.801417079417,1.2740627080207145,0.5103855223223855,0.28595444134803066,0.11237349519930499,2.0671533176130787,0.15892500535917772,6.168244333374703
UA,12.926886815526952,1480.6225455826195,1480.6225455826195,18.627310111824578,12.42133961211971,152.2092071836447,1166.1337834797043,0.0007223430656696267,36.85272465747731,-96.07962581705154,1096.8829657482202,2005.3240222279474,164.75918093144753,7.290709657221311,3.2284397715895787,9.453019817963026,15.264021543107413,7.3360252868990115,63.619579345227805,29.967652629622265,6395.318140757433,1.5490247553327834,0.5016941635332522,0.3699472673256349,0.3190147436252817,2.091895734751713,0.09956268078958783,6.746511392801354
WN,12.769829470990143,1810.1299112717813,1810.1299112717813,12.246274287505996,14.06849889524139,97.31780132571033,719.8748352129546,0.04030341668127579,35.55225988331571,-99.91007191596961,988.3337089229434,2009.2485594889922,156.9208960399366,6.647443377742492,2.988073549661622,9.510374521277706,16.99858965457855,7.885833125459029,60.3821238318172,29.953228783498975,6579.214397309965,1.4452991961249655,0.4418818197895823,0.3589202789814751,0.31446040593024843,1.945732063794114,0.09269237511902896,6.709585566855852
YV,12.652553450953212,5979.797759314985,5979.317126238123,16.400998394497424,15.469289279980348,88.1076037654738,620.8185255696025,0.0449979382890431,34.52245624133423,-94.7738051341779,813.8613038786485,2011.8239737504716,155.06736092224278,7.1475834115613734,3.4210891097795284,9.427357149750401,16.892118122877974,8.22688558820175,61.84273163541932,29.940795469499836,6222.694612354474,1.3147135976417537,0.421887474447944,0.3091776843915321,0.31752103383837943,1.8859566777501908,0.09339989296649501,6.198275181386698
YX,12.372378656523702,4642.273542001921,4642.094578263442,20.40932075639713,8.11141147062378,78.8130156024399,518.7086611669073,0.08935306801340805,39.3986735169477,-78.72327804464791,326.4104942786813,2009.916323726776,173.5378103155471,7.8327269604818754,3.629809374185054,9.348019800405803,13.753978208740675,6.605353392401682,64.76299346771064,29.93527856047933,7092.688224705666,1.6404664830586635,0.5226690158314199,0.3940586061481119,0.39117091445690405,2.360614811186943,0.12453647459912606,6.235410478377295
ZW,12.828786234692295,3838.405037978608,3838.2000620058907,20.404448922647653,10.18617268640521,61.25396062625949,359.35169741125407,0.0016431560998294839,40.82849102477135,-85.09310917482561,701.4357153929624,2002.0946364904667,175.03208804836459,7.4544411719113315,4.231064951170361,9.224439001705163,10.69887304293908,4.552786699736475,67.07954472174856,29.662301503642848,5959.66206789645,1.3800496047124478,0.4959231126957061,0.3161370330181367,0.2742675554177647,2.253852115951015,0.13295613083242908,6.328879243528135
